Address,Owner,Accessor number (date collected),Catalog # (day inventory),Object Name,3D Scanned,3D Printed,Scanned By,Date excavated (field bag date),Object dated to,Object Description,inorganic/organic,species,Material of manufactur,Form (object type),Quantity,Measurements (diameter/circumference) - length,Length (mm),Width (mm),Height (mm),Measurement Notes,weight (grams),Weight Notes,Sivilich Diameter (in),Deformation Index,Conservation & condition,Cataloger name,Date Catalogued on,Location in repository,PLAT/LOT,Found at Depth below surface (report UNIT. mm prefered),Longtitude,Latitude,Distance from Datum,Found in grid,Excavator,Notes,Image (add column for each additional image),Data entry double checked by,Questions/ concerns,Dr.Uhl Check,SOURCES FOR ID,Location,Storage Location,Uhl Flags
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/10/2022,2022-6-10-281-A,Chinese Hard Paste Porcelain,,,,6/10/2022,Mid 19th century,Chinese Hand Paste Porcelain Painted Underglazed Blue,Inorganic,Unknown,Chinese Hard Paste Porcelain,Vessel,1 of 4,8.93,,,,,0.1,,,,No conservation,I. DeLisle,,,,314,,,3160,S2W4,,,,,,,https://apps.jefpat.maryland.gov/diagnostic/Porcelain/LargeImagePages/ChineseHardPorcelain/18BC27-ChinesePorcelain-syllabub%20cup%20with%20twisted%20handle.html,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/7/2022,2022-6-7-292-J,Chinese Hard Paste Porcelain,,,,6/7/2022,1720-1750,Chinese Hard Paste porcelain retangle with light blue design sherd,Inorganic,Unknown,Chinese Hard Paste Porcelain,Vessel,1 of 12,8.85,,,,,0.2,,,,No conservation,I. DeLisle,,,,293,,,2259,S2W3,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/specimen/264/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/1/2021,2021-6-1-22,Smoking Stem,,,,6/1/2021,1720-1750,Pipe stem piece,Inorganic,,CLAY,Smoking tool,1,,40.64,,,,,,,,No conservation,M.Persico,6/24/2021,,,508,,,,S5W1,,BORE IS 7/64inch,,,,YES,https://www.nps.gov/archeology/afori/howfig_mar4.htm,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/19/2021,2021-5-19-40,Smoking Stem,,,,5/19/2021,1720-1750,Pipe stem piece,Inorganic,,CLAY,Smoking tool,1,25.4,,,,,,,,,No conservation,L. McKinnon,6/30/2021,,,609.6,,,,S4W3,,BORE 6/64 inch,,,,YES,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/31/2022,2022-5-31-193,Pipe Stem,,,,5/31/2022,1680-1720,Speckled pipe stem fragment,Inorganic,Unknown,Clay,Pipe Stem,1,2.32,,,,,3.92,,,,No conservation,I. DeLisle,,,,495,,,3565,S3W4,,,Pipe Stem_May 31_2022_45_NHS,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/1/2022,2022-6-1-194,Pipe Stem,,,,6/1/2022,1720-1750,Pipe stem piece,Inorganic,Unknown,Clay,Pipe Stem,1,2.11,,,,,0.953,,,,No conservation,I. DeLisle,,,,404,,,3364,S3W4,,,PipeStem_June 1_2022_NHS,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/2/2022,2022-6-2-195,Pipe Stem,,,,6/2/2022,1720-1750,Speckled pipe stem fragment,Inorganic,Unknown,Clay,Pipe Stem,1,2.04,,,,,4.15,,,,No conservation,I. DeLisle,,,,315-345,,,3541 - 3821,S3W4,,,PipeStem_June 2_2022_NHS,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/10/2022,2022-6-10-196,Pipe Stem,,,,6/10/2022,Unknown,Small broken part of pipe stem,Inorganic,Unknown,Clay,Pipe Stem,1,,,,,,0.331,,,,No conservation,I. DeLisle,,,,325,,,2539,S2W4,,,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/21/2022,2022-6-21-197,Pipe Stem,,,,6/21/2022,1720-1750,Speckled pipe stem fragment,Inorganic,Unknown,Clay,Pipe Stem,1,2.03,,,,,1.028,,,,No conservation,I. DeLisle,,,,235,,,4837,S4W4,,,PipeStem_June 21_2022_93_NHS,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/18/2022,2022-6-18-201,Pipe Stem,,,,6/18/2022,1720-1750,Speckled pipe stem fragment,Inorganic,Unknown,Clay,Pipe Stem,1,2.25,,,,,4.166,,,,No conservation,I. DeLisle,,,,457.0-482.5,,,,S5W4,,,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,10/17/2021,2021-10-17-208,Pipe Stem,,,,10/17/2021,1720-1750,,Inorganic,Unknown,Clay,Pipe Stem,1,1.97,,,,,2.478,,,,No conservation,E. Lescault,,,,508,,,,S4E1,,,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,9/14/2021,2021-9-14-210,Pipe Stem,,,,9/14/2021,1750-1800,Clay Pipe stem; slighly splotchy,Inorganic,Unknown,Clay,Pipe Stem,1,1.6,,,,,1.234,,,,No conservation,E. Lescault,,,,609.6,,,,S3W4,,,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/12/2022,2022-7-12-229,Pipe Stem,,,,7/12/2022,1720-1750,Speckled; pipe stem,Inorganic,Unknown,Clay,Smoking Pipe Stem,1,2,,,,,3.9,,,,No conservation,M. Rodriguez,,,,297,,,5445,S5W4,,,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/12/2022,2022-7-12-230,Pipe Stem,,,,7/12/2022,1720-1750,Speckled; pipe stem,Inorganic,Unknown,Clay,Smoking Pipe Stem,1,2.08,,,,,1.7,,,,No conservation,M. Rodriguez,,,,,,,,S2W4,,,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/31/2022,2022-5-31-276,Pipe Stem,,,,5/31/2022,~1720-1750 (based on edge of bore hole),Fragment of smoking pipe stem,Inorganic,Unknown,Clay,Pipe Stem,1,,14.32,,,,0.25,,,,No conservation,M. Rodriguez,,,,353 - 422,,,3459,S3W4,,Production origin: England,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,"No units were given, assuming mm"
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/19/2022,2022-7-19-311,Pipe Stem,,,,7/19/2022,1720-1750,Fragmented; yellowish-brownish-tan coating; specled clay,,Unknown,Clay,Pipe Stem,1,27.08,,,,,0.7,,,,No conservation,B. Ingraham,,,,,,,,S5W3,,Origin: England; 2.14mm diameter,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,8/4/2022,2022-8-4-514,Pipe Stem,,,,8/4/2022,1650-1680,Short and thick pipe stem with yellow; red; and orange coloring,Inorganic,Unknown,Clay,Pipe Stem,1,2.6,,,,,1.7,,,,No conservation,I. DeLisle,,,,508,,,3311,S4W3,,,,,,,https://www.nps.gov/archeology/afori/howfig_mar4.htm,Box 1 (Pipestems): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/25/2022,2022-5-25-221,Glass,,,,5/25/2022,15th to 18th century,Clear Glass,Inorganic,Unknown,Clear Glass,Clear Glass,1,18.47,,,,,1.545,,,,No conservation,I. DeLisle,,,,384 - 396,,,2249 - 2258 ,S2E1,,,Glass_May 25_2022_11_NHS,,,,https://sha.org/bottle/colors.htm,Box 6 (Glass): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/16/2022,2022-7-16-569-A,Coal,,,,7/16/2022,Unknown,Shiny black coal pieces,Inorganic,Unknown,Coal,Coal,1 of 2,11.85,,,,,0.4,,,,No conservation,I. DeLisle,,,,470,,,,S3W3,,,,,,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/16/2022,2022-7-16-569-B,Coal,,,,7/16/2022,Unknown,Shiny black coal pieces,Inorganic,Unknown,Coal,Coal,2 of 2,9.9,,,,,0.4,,,,No conservation,I. DeLisle,,,,470,,,,S3W3,,,,,,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/7/2021,2021-6-7-15-A,Coarse Earthenware,,,,6/7/2021,1490-1900,Two thick fragments of lead glazed coarse earthenware; possibly a jug based on the thickness of the pieces,Inorganic,,Coarse Earthenware,Vessel; possiby a jug,1 of 2,27.432,,,,,,,,,No conservation,G.Parenti,6/24/2021,,,609.6,,,,S3W2,,I. DeLisle Updated 7/27/22,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/all/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/7/2021,2021-6-7-15-B,Coarse Earthenware,,,,6/7/2021,1490-1900,Two thick fragments of lead glazed coarse earthenware; possibly a jug based on the thickness of the pieces,Inorganic,,Coarse Earthenware,Vessel; possiby a jug,2 of 2,24.13,,,,,,,,,No conservation,G.Parenti,6/24/2021,,,609.6,,,,S3W2,,I. DeLisle Updated 7/27/22,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/all/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,4/23/2021,2021-4-23-58,Coarse Earthenware,,,,4/23/2021,1490-1900,Thick ceramic;  lead dark brown glaze coarse earthenware,Inorganic,,Coarse Earthenware,Vessel,1,38.1,,,,,,,,,No conservation,L. McKinnon,7/5/2021,,,508,,,,S5W3,,I. DeLisle Updated 7/27/22,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/all/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/12/2021,2021-5-13-76,Coarse Earthenware,,,,5/12/2021,1490-1900,Thick lead glazed coarse earthenware sherd,Inorganic,,Coarse Earthenware,Vessel,1,31.75,,,,,,,,,No conservation,L. McKinnon,7/6/2021,,,558.8,,,,S5W3,,I. DeLisle Updated 7/27/22,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/all/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/7/2021,2021-6-7-112,Coarse Earthenware,,,,6/7/2021,1490-1900,Lead Glaze Coarse Earthenware sherds,Inorganic,,Coarse Earthenware,Vessel,2,17.78,,,,0.7 to 1.5 inch range,,,,,No conservation,M.Persico,7/9/2021,,,533.4,,,,S4W1,,I. DeLisle 7/20/22,,,Earthenware; black lead glaze,,https://www.floridamuseum.ufl.edu/typeceramics/specimen/2124/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/2/2021,2021-6-2-135,Coarse Earthenware,,,,6/2/2021,1490-1900,Thick; lead glaze coarse earthenware sherds,Inorganic,,Coarse Earthenware,Vessel,2,25.4,,,,,,,,,No conservation,L. McKinnon,7/13/2021,,,,,,,S4W1,,I. DeLisle Updated 7/20/22,,,Came from a bucket from last semester,,https://www.floridamuseum.ufl.edu/typeceramics/specimen/2124/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/16/2022,2022-6-16-199-B,Coarse Earthenware,,,,6/16/2022,1750-1800,Spiral decorations on a blue tinted glaze Majolica Arnama Polychrome sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 2,7.32,,,,,0.183,,,,No conservation,I. DeLisle,,,,,,,,S5W2,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/specimen/1355/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/26/2022,2022-5-26-239,Redware,,,,5/26/2022,1490 - 1900,Lead-glazed coarse earthenware; with dark brown glaze,Inorganic,Unknown,Coarse Earthenware,Vessel/Rim Sherd,1,24.94,,,,,7.6,,,,No conservation,I. DeLisle,,,,534,,,3324,S3W4,,Updated: M. Rodriguez,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/26/2022,2022-5-26-243,Redware,,,,5/26/2022,1490-1900,Coarse Earthenware with black metallic glaze,Inorganic,Unknown,Coarse Earthenware,vessel; rim,1,18.65,,,,,1.8,,,,No conservation,I. DeLisle,,,,490,,,3000,S2W4,,Updated: M. Rodriguez,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/26/2022,2022-5-26-250-C,Coarse Earthenware,,,,5/26/2022,1571-1790,Delft Polychrome sherd with green decoraction on white glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 3,11.03,,,,,0.3,,,,No conservation,I. DeLisle,,,,616,,,3436,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/specimen/125/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/1/2022,2022-6-1-270-A,Coarse Earthenware,,,,6/1/2022,1650-1750,Obo Polychrome red and white with a blue line coarse earthenware sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 7,10.9,,,,,0.2,,,,No conservation,I. DeLisle,,,,404,,,3364,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/specimen/1019/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/27/2022,2022-5-27-278-A,Lead Glazed Coarse Earthenware,,,,5/27/2022,1490-1900,Redware; with dark brown glaze; round rim,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 2,48.7,,,,,14.9,,,,No conservation,M. Rodriguez,,,,559,,,3516,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/27/2022,2022-5-27-278-B,Lead Glazed Coarse Earthenware,,,,5/27/2022,1490-1900,Redware; with light brown glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 2,32.54,,,,,5.3,,,,No conservation,M. Rodriguez,,,,559,,,351,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/8/2022,2022-7-8-315,Redware,,,,7/8/2022,1490-1900,Lead-glazed coarse earthenware; with dark brown glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,1,22.13,,,,,3.1,,,,No conservation,M. Rodriguez,,,,385,,,2932,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/all/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-316,Redware,,,,7/11/2022,1490-1900,Lead-glazed coarse earthenware; with dark brown glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,1,7.5,,,,,0.1,,,,No conservation,E. Lescault,,,,385,,,4824,S5W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/all/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/31/2022,2022-5-31-321,Redware,,,,5/31/2022,1490-1900,Lead-glazed coarse earthenware; with dark brown glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,1,37.75,,,,,7,,,,No conservation,M. Rodriguez,,,,278 - 353,,,3506 - 3724,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/2/2022,2022-6-2-330-A,Redware,,,,6/2/2022,1490-1900,Lead-glazed coarse earthenware; with dark brown glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 3,24.99,,,,,1.3,,,,No conservation,M. Rodriguez,,,,315 - 345,,,3541 - 3821 ,S3W4,,,,,,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/2/2022,2022-6-2-330-B,Redware,,,,6/2/2022,1490-1900,Lead-glazed coarse earthenware; with dark brown glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,2 of 3,17.57,,,,,1.2,,,,No conservation,M. Rodriguez,,,,315 - 345,,,3541 - 3821 ,S3W4,,,,,,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/2/2022,2022-6-2-330-C,Redware,,,,6/2/2022,1490-1900,Lead-glazed coarse earthenware; with dark brown glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,3 of 3,14.59,,,,,0.4,,,,No conservation,M. Rodriguez,,,,315 - 345,,,3541 - 3821 ,S3W4,,,,,,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-7-5-338-A,Redware,,,,7/5/2022,1490-1900,Lead-Glazed; coarse earthenware; Large; dark speckled; small patch of yellow-ish glaze; with ridging on back side,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 6,54.65,,,,,16.2,,,,No conservation,B. Ingraham,,,,432,,,3332,S2W4,,Lead-glazed; unknown origin,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-7-5-338-B,Redware,,,,7/5/2022,1490-1900,Lead-Glazed; coarse earthenwareSquare shaped peice; small yellow-ish glaze,Inorganic,Unknown,Coarse Earthenware,Vessel,2 of 6,56.34,,,,,13.1,,,,No conservation,B. Ingraham,,,,432,,,3332,S2W4,,Lead-glazed; unknown origin,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-7-5-338-C,Redware,,,,7/5/2022,1490-1900,Lead-Glazed; coarse earthenwareBrownish-yellowish glazing on one side; curved sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,3 of 6,40.94,,,,,4,,,,No conservation,B. Ingraham,,,,432,,,3332,S2W4,,Lead-glazed; unknown origin,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-7-5-338-D,Redware,,,,7/5/2022,1490-1900,Lead-Glazed; coarse earthenwareSmall amonts of glaze; rectangular shape; with dark lines on one side,Inorganic,Unknown,Coarse Earthenware,Vessel,4 of 6,38.43,,,,,3.2,,,,No conservation,B. Ingraham,,,,432,,,3332,S2W4,,Lead-glazed; unknown origin,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-7-5-338-E,Redware,,,,7/5/2022,1490-1900,Lead-Glazed; coarse earthenwareBrownish speckles on one side; brownish glazing on the other; thicker chunck,Inorganic,Unknown,Coarse Earthenware,Vessel,5 of 6,33.69,,,,,4.5,,,,No conservation,B. Ingraham,,,,432,,,3332,S2W4,,Lead-glazed; unknown origin,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-7-5-338-F,Redware,,,,7/5/2022,1490-1900,Lead-Glazed; coarse earthenwareLighter redware; with glazing on one side; smaller than the other sherds,Inorganic,Unknown,Coarse Earthenware,Vessel,6 of 6,22.29,,,,,2.1,,,,No conservation,B. Ingraham,,,,432,,,3332,S2W4,,Lead-glazed; unknown origin,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-349-C,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glaze thick triangle coarse earthenware sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 4,20.34,,,,,1.9,,,,No conservation,I. DeLisle,,,,395,,,3329,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-349-D,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glaze thinner and bigger triangle coarse earthenware sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 4,27.51,,,,,2.3,,,,No conservation,I. DeLisle,,,,395,,,3329,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-364-A,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed coarse earthenware the biggest sherd with a rounded bottom,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 3,61.39,,,,,19.7,,,,No conservation,I. DeLisle,,,,429,,,3381,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-364-B,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed coarse earthenware the middle sherd with an irregular shape,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 3,31.63,,,,,4.6,,,,No conservation,I. DeLisle,,,,429,,,3381,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-364-C,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed coarse earthenware sherd the smallest and a trapezoid like shape,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 3,14.4,,,,,0.8,,,,No conservation,I. DeLisle,,,,429,,,3381,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-368-A,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed rectangular sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 6,38.56,,,,,10.2,,,,No conservation,I. DeLisle,,,,430,,,3305,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-368-B,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed rim like sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 6,27.01,,,,,4.3,,,,No conservation,I. DeLisle,,,,430,,,3305,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-368-C,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed triangle with a flat top sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 6,42.55,,,,,11.9,,,,No conservation,I. DeLisle,,,,430,,,3305,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-368-D,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed trapezoid sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 6,32.95,,,,,5.3,,,,No conservation,I. DeLisle,,,,430,,,3305,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-368-E,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed triangle like and rim like sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 6,33.42,,,,,4.2,,,,No conservation,I. DeLisle,,,,430,,,3305,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/7/2022,2022-7-7-368-F,Coarse Earthenware,,,,7/7/2022,1490-1900,Lead glazed square sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 6,24.1,,,,,3.8,,,,No conservation,I. DeLisle,,,,430,,,3305,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/8/2022,2022-7-8-374,Coarse Earthenware,,,,7/8/2022,1490-1900,Lead glazed triangle coarse earthenware sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1,18.15,,,,,0.9,,,,No conservation,I. DeLisle,,,,410,,,3570,S3W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/lead-glazed-coarse-earthenware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/19/2022,2022-7-19-378,Coarse Earthenware,,,,7/19/2022,1650-1725,Blue Puebla Polychrome retangle sherd,Inorganic,Unknown,Coarse Earthenware,Vessel,1,9.8,,,,,0.3,,,,No conservation,I. DeLisle,,,,,,,,S5W1,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/specimen/793/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/12/2022,2022-7-12-381-E,Coarse Earthenware,,,,7/12/2022,1490-1650,Coarse Earthenware sherd; with same-color paste and exterior; resembles Columbia Plain,Inorganic,Unknown,Coarse Earthenware,Vessel,1,11.1,,,,,0.5,,,,No conservation,E. Lescault,,,,297,,,5445,S5W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/specimen/568/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-07-05-389-A,Coarse Earthenware,,,,7/5/2022,1500-1750,Redware; large piece,Inorganic,Unknown,Coarse Earthenware,Vessel,1 of 14,73.4,,,,,22.4,,,,No conservation,R. Twine,,,,305,,,3326,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/redware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-07-05-389-B,Coarse Earthenware,,,,7/5/2022,1500-1750,Redware; large piece,Inorganic,Unknown,Coarse Earthenware,Vessel,2 of 14,45.47,,,,,12.7,,,,No conservation,R. Twine,,,,305,,,3326,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/redware/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/5/2022,2022-07-05-389-C,Coarse Earthenware,,,,7/5/2022,1500-1750,Redware; large piece,Inorganic,Unknown,Coarse Earthenware,Vessel,3 of 14,57.31,,,,,15.4,,,,No conservation,R. Twine,,,,305,,,3326,S2W4,,,,,,,https://www.floridamuseum.ufl.edu/typeceramics/type/redware/,,,
